"","Price","Days_on_Market","Number_of_Bedrooms","Number_of_Bathrooms","Building_Type","Rental_Size","Pet_Friendliness"
"1",3209,229,2,1,"Apartment",912,"Yes"
"2",2000,210,0,1,"Apartment",445,"Yes"
"3",2819,221,2,1,"Apartment",904,"Yes"
"4",2519,218,1,1,"Apartment",665,"Limited"
"8",2295,210,1,1,"Apartment",680,"Yes"
"10",2350,210,1,1,"Condo",600,"Limited"
"13",2100,210,1,1,"Apartment",700,"No"
"14",2500,210,2,1,"Apartment",800,"Yes"
"15",3461,210,3,1.5,"Apartment",1282,"No"
"16",2639,210,2,1,"Apartment",994,"No"
"17",2519,210,1,1,"Apartment",738,"No"
"19",2100,210,2,1,"Basement",1000,"No"
"20",2350,210,1,1,"Condo",526,"Yes"
"22",2037,210,1,1,"Apartment",680,"No"
"23",1987,210,1,1,"Apartment",685,"No"
"24",2790,210,3,1.5,"Apartment",1265,"No"
"25",2279,210,1,1,"Apartment",629,"Yes"
"26",2069,210,0,1,"Apartment",411,"Yes"
"28",1850,210,1,1,"Basement",500,"No"
"31",1849,210,0,1,"Apartment",392,"No"
"32",2150,210,2,1,"Basement",1000,"No"
"34",1900,210,0,1,"Apartment",1000,"No"
"35",2472,210,2,1,"Apartment",954,"No"
"36",2236,210,1,1,"Apartment",602,"Yes"
"37",3347,210,2,1,"Apartment",900,"Yes"
"38",3600,210,0,1,"Apartment",1800,"Limited"
"40",2350,210,2,1,"Apartment",650,"Yes"
"41",1150,210,0,1,"Apartment",350,"Yes"
"45",3200,210,2,2,"Apartment",799,"Yes"
"46",2800,210,2,2,"Condo",700,"No"
"47",2819,221,2,1,"Apartment",904,"Yes"
"49",2716,211,2,1,"Apartment",857,"No"
"52",2679,230,1,1,"Apartment",748,"Yes"
"55",2905,210,1,1,"Apartment",850,"Yes"
"56",2900,210,2,1,"Duplex/Triplex",900,"Limited"
"57",1975,210,1,1,"Apartment",350,"No"
"58",2270,210,1,1,"Apartment",712,"No"
"59",2197,210,1,1,"Apartment",874,"No"
"60",3170,210,3,1,"Apartment",1193,"No"
"62",1990,210,0,1,"Apartment",450,"Yes"
"64",1300,210,0,1,"Basement",300,"No"
"65",2552,210,1,1,"Apartment",639,"No"
"67",1550,210,1,1,"Basement",900,"No"
"72",2295,210,1,1,"Apartment",705,"Yes"
"75",1695,210,1,1,"Apartment",220,"Yes"
"90",1800,210,1,1,"Apartment",600,"No"
"91",2650,210,3,1,"Basement",650,"Yes"
"92",2149,210,1,1,"Apartment",728,"No"
"94",2200,219,1,1,"Apartment",529,"Yes"
"96",3070,220,2,1,"Apartment",861,"Yes"
"99",2774,210,2,1,"Apartment",929,"No"
"100",2860,210,2,1,"Apartment",921,"No"
"101",3335,210,3,1.5,"Apartment",1190,"No"
"102",1949,210,0,1,"Apartment",504,"No"
"103",2285,210,1,1,"Apartment",625,"Yes"
"104",1895,210,0,1,"Apartment",325,"Yes"
"106",2315,210,1,1,"Apartment",625,"Limited"
"107",2975,210,2,1,"Apartment",865,"Limited"
"108",2445,210,1,1,"Apartment",595,"Limited"
"109",2095,210,0,1,"Apartment",390,"Limited"
"110",2075,210,1,1,"Apartment",470,"Limited"
"111",2795,210,2,1,"Apartment",815,"Limited"
"112",1805,210,0,1,"Apartment",390,"Limited"
"113",2200,210,1,1,"Basement",860,"Yes"
"114",2845,210,2,1,"Apartment",815,"Limited"
"115",1895,210,1,1,"Apartment",470,"Limited"
"116",3025,210,3,1.5,"Apartment",1164,"Limited"
"117",2310,210,1,1,"Apartment",744,"Limited"
"119",2995,210,2,1,"Apartment",917,"Limited"
"120",2800,210,2,1,"Apartment",785,"Limited"
"121",2750,210,2,1.5,"Apartment",910,"Limited"
"122",2775,210,2,1,"Apartment",915,"Limited"
"123",2250,210,1,1,"Apartment",573,"Limited"
"124",2745,210,2,1,"Apartment",854,"Limited"
"125",2325,210,1,1,"Apartment",710,"Limited"
"126",2850,210,2,1,"Apartment",840,"Limited"
"127",2295,210,1,1,"Apartment",535,"Limited"
"128",2315,210,1,1,"Apartment",680,"Limited"
"129",2785,210,2,1,"Apartment",868,"Limited"
"130",2600,210,2,1,"Apartment",770,"Limited"
"131",2825,210,2,1,"Apartment",881,"Limited"
"132",2335,210,1,1,"Apartment",538,"Limited"
"133",1950,210,0,1,"Apartment",470,"Limited"
"134",2715,210,2,1,"Apartment",870,"Limited"
"135",2735,210,2,1,"Apartment",961,"Limited"
"136",2355,210,1,1,"Apartment",599,"No"
"137",1995,210,0,1,"Apartment",520,"Limited"
"138",2550,210,1,1,"Apartment",845,"Limited"
"139",2285,210,1,1,"Apartment",625,"Yes"
"141",2899,220,2,1,"Apartment",950,"Yes"
"142",2699,224,2,1,"Apartment",986,"Yes"
"144",2679,230,1,1,"Apartment",748,"Yes"
"145",3025,210,2,1.5,"Apartment",1000,"Limited"
"146",2645,210,2,1,"Apartment",674,"Limited"
"147",2100,210,0,1,"Apartment",372,"Limited"
"148",2800,210,2,1,"Apartment",917,"Limited"
"149",2450,210,1,1,"Apartment",711,"Yes"
"150",2365,210,1,1,"Apartment",580,"Limited"
"155",2649,210,2,1,"Apartment",881,"Yes"
"156",2249,210,1,1,"Apartment",624,"Yes"
"158",2500,210,2,2,"Condo",680,"Yes"
"159",2250,210,2,1,"Apartment",700,"No"
"160",2310,210,1,1,"Apartment",720,"Yes"
"161",2740,210,2,1,"Apartment",948,"Yes"
"165",2100,210,2,1,"Basement",1000,"No"
"166",2799,210,2,1,"Apartment",895,"Yes"
"167",2170,210,1,1,"Apartment",695,"Yes"
"168",2281,210,1,1,"Apartment",436,"Yes"
"169",2099,210,1,1,"Apartment",655,"No"
"170",1100,210,1,1,"Apartment",200,"No"
"171",2300,210,2,1,"Apartment",800,"No"
"172",2250,210,1,1,"Apartment",635,"Yes"
"173",3995,210,2,1,"Apartment",1125,"Yes"
"174",1950,210,0,1,"Apartment",360,"Yes"
"177",1749,210,0,1,"Apartment",382,"Yes"
"178",2049,210,1,1,"Apartment",627,"Yes"
"179",2299,210,1,1,"Apartment",721,"Yes"
"180",1849,210,0,1,"Apartment",407,"Yes"
"181",1999,210,1,1,"Apartment",622,"Yes"
"182",1800,210,1,1,"Apartment",400,"No"
"185",2299,219,1,1,"Apartment",490,"Yes"
"186",1895,210,0,1,"Apartment",325,"Yes"
"187",2975,213,2,1,"Apartment",850,"Yes"
"188",2699,224,1,1,"Apartment",986,"Yes"
"190",1805,210,0,1,"Apartment",390,"Limited"
